Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg
 David Levicki Record: 1-3-0,"Height:6' 5""",Weight:275 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Kyle Levinton Record: 0-3-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Natan Levy Record: 6-0-0,"Height:5' 9""",Weight:155 lbs.,"Reach:71""",STANCE:Southpaw,"DOB:Sep 30, 1991  ",SLpM:1.65,Str. Acc.:60%,SApM:0.82,Str. Def:57%,,TD Avg.:2.75,TD Acc.:100%,TD Def.:100%,Sub. Avg.:2.8,"
"
 John Lewis Record: 3-4-3,"Height:6' 0""",Weight:155 lbs.,Reach:--,STANCE:Southpaw,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:4.00,Str. Def:66%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Derrick Lewis Record: 25-8-0 (1 NC),"Height:6' 3""",Weight:260 lbs.,"Reach:79""",STANCE:Orthodox,"DOB:Feb 07, 1985  ",SLpM:2.49,Str. Acc.:50%,SApM:2.48,Str. Def:41%,,TD Avg.:0.49,TD Acc.:25%,TD Def.:55%,Sub. Avg.:0.0,"
"
 Bevon Lewis Record: 7-3-0,"Height:6' 3""",Weight:185 lbs.,"Reach:79""",STANCE:Orthodox,"DOB:May 05, 1991  ",SLpM:3.73,Str. Acc.:43%,SApM:2.67,Str. Def:54%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:66%,Sub. Avg.:0.0,"
"
 Brandon Lewis Record: 5-0-0,"Height:5' 4""",Weight:135 lbs.,Reach:--,STANCE:  ,"DOB:Aug 02, 1997  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Chi Lewis-Parry Record: 7-0-1 (2 NC),"Height:6' 9""",Weight:243 lbs.,Reach:--,STANCE:  ,"DOB:Aug 10, 1983  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Li Jingliang Record: 18-6-0,"Height:6' 0""",Weight:170 lbs.,"Reach:71""",STANCE:Orthodox,"DOB:Mar 20, 1988  ",SLpM:4.52,Str. Acc.:42%,SApM:3.65,Str. Def:59%,,TD Avg.:1.28,TD Acc.:39%,TD Def.:59%,Sub. Avg.:0.0,"
"
 Jess Liaudin Record: 20-11-0,"Height:5' 9""",Weight:170 lbs.,"Reach:72""",STANCE:Orthodox,DOB:--  ,SLpM:2.46,Str. Acc.:51%,SApM:2.76,Str. Def:41%,,TD Avg.:3.28,TD Acc.:53%,TD Def.:30%,Sub. Avg.:1.6,"
"
 Chuck Liddell Record: 21-8-0,"Height:6' 2""",Weight:205 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Dec 17, 1969  ",SLpM:2.97,Str. Acc.:35%,SApM:2.71,Str. Def:56%,,TD Avg.:0.44,TD Acc.:75%,TD Def.:81%,Sub. Avg.:0.0,"
"
 Sam Liera Record: 12-10-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.82,Str. Acc.:60%,SApM:7.36,Str. Def:51%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:66%,Sub. Avg.:0.0,"
"
 Zach Light Record: 9-11-0,"Height:5' 8""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,"DOB:Feb 06, 1974  ",SLpM:0.81,Str. Acc.:33%,SApM:1.90,Str. Def:48%,,TD Avg.:1.36,TD Acc.:100%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Scott Lighty Record: 6-2-0,"Height:6' 2""",Weight:205 lbs.,Reach:--,STANCE:  ,"DOB:Oct 15, 1978  ",SLpM:2.91,Str. Acc.:21%,SApM:4.24,Str. Def:49%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Chris Liguori Record: 15-10-0,"Height:5' 9""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.29,Str. Acc.:33%,SApM:1.44,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Donnie Liles Record: 17-7-0,"Height:5' 9""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:2.25,Str. Acc.:41%,SApM:1.75,Str. Def:65%,,TD Avg.:2.50,TD Acc.:28%,TD Def.:0%,Sub. Avg.:1.2,"
"
 Jae Suk Lim Record: 17-6-0,"Height:5' 9""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,"DOB:Nov 09, 1979  ",SLpM:2.43,Str. Acc.:50%,SApM:4.05,Str. Def:37%,,TD Avg.:12.16,TD Acc.:100%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Hyun Gyu Lim Record: 13-7-1,"Height:6' 3""",Weight:170 lbs.,"Reach:77""",STANCE:Orthodox,"DOB:Jan 16, 1985  ",SLpM:4.45,Str. Acc.:41%,SApM:5.07,Str. Def:51%,,TD Avg.:0.23,TD Acc.:100%,TD Def.:73%,Sub. Avg.:0.2,"
"
 Juliana Lima Record: 9-5-0,"Height:5' 5""",Weight:115 lbs.,"Reach:65""",STANCE:Orthodox,"DOB:Mar 15, 1982  ",SLpM:1.94,Str. Acc.:44%,SApM:2.11,Str. Def:55%,,TD Avg.:1.72,TD Acc.:31%,TD Def.:70%,Sub. Avg.:0.0,"
"
 Dhiego Lima Record: 17-9-0,"Height:6' 2""",Weight:170 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Jan 31, 1989  ",SLpM:3.12,Str. Acc.:39%,SApM:3.88,Str. Def:58%,,TD Avg.:1.26,TD Acc.:34%,TD Def.:73%,Sub. Avg.:0.6,"
"
 Douglas Lima Record: 29-6-0,"Height:6' 1""",Weight:170 lbs.,Reach:--,STANCE:  ,"DOB:Jan 05, 1988  ",SLpM:1.92,Str. Acc.:36%,SApM:2.84,Str. Def:60%,,TD Avg.:0.60,TD Acc.:100%,TD Def.:46%,Sub. Avg.:0.0,"
"
 Mabelly Lima Record: 7-1-0,"Height:5' 2""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jan 25, 1994  ",SLpM:3.07,Str. Acc.:63%,SApM:5.67,Str. Def:44%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Miguel Linares Record: 2-4-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:6.51,Str. Acc.:50%,SApM:8.84,Str. Def:36%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Matt Lindland Record: 22-9-0,"Height:6' 0""",Weight:185 lbs.,"Reach:74""",STANCE:Southpaw,"DOB:May 17, 1970  ",SLpM:2.62,Str. Acc.:50%,SApM:1.56,Str. Def:52%,,TD Avg.:3.01,TD Acc.:48%,TD Def.:60%,Sub. Avg.:1.3,"
"
 Jake Lindsey Record: 12-7-0,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:Switch,"DOB:Jun 21, 1986  ",SLpM:3.44,Str. Acc.:52%,SApM:4.01,Str. Def:46%,,TD Avg.:0.65,TD Acc.:33%,TD Def.:50%,Sub. Avg.:0.0,"
"
 John Lineker Record: 31-9-0,"Height:5' 3""",Weight:135 lbs.,"Reach:67""",STANCE:Orthodox,"DOB:Jun 12, 1990  ",SLpM:5.36,Str. Acc.:40%,SApM:4.27,Str. Def:56%,,TD Avg.:0.56,TD Acc.:58%,TD Def.:67%,Sub. Avg.:0.6,"
"
 Austin Lingo Record: 9-1-0,"Height:5' 10""",Weight:145 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Jul 10, 1994  ",SLpM:4.00,Str. Acc.:42%,SApM:3.82,Str. Def:58%,,TD Avg.:0.67,TD Acc.:66%,TD Def.:80%,Sub. Avg.:0.0,"
"
 Lucio Linhares Record: 19-8-0,"Height:6' 2""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Dec 08, 1973  ",SLpM:0.99,Str. Acc.:22%,SApM:3.47,Str. Def:34%,,TD Avg.:1.86,TD Acc.:50%,TD Def.:50%,Sub. Avg.:1.9,"
"
 Philipe Lins Record: 14-5-0,"Height:6' 2""",Weight:240 lbs.,"Reach:78""",STANCE:Orthodox,"DOB:Aug 17, 1985  ",SLpM:2.66,Str. Acc.:40%,SApM:3.68,Str. Def:49%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Ariane Lipski Record: 13-7-0,"Height:5' 6""",Weight:125 lbs.,"Reach:67""",STANCE:Orthodox,"DOB:Jan 26, 1994  ",SLpM:2.76,Str. Acc.:33%,SApM:4.25,Str. Def:48%,,TD Avg.:0.23,TD Acc.:25%,TD Def.:42%,Sub. Avg.:0.5,"
"
 Dean Lister Record: 13-7-0,"Height:6' 1""",Weight:185 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Feb 13, 1976  ",SLpM:1.26,Str. Acc.:35%,SApM:1.89,Str. Def:61%,,TD Avg.:1.58,TD Acc.:15%,TD Def.:50%,Sub. Avg.:1.1,"
"
 Wesley Little Record: 4-8-0,"Height:6' 4""",Weight:205 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Abner Lloveras Record: 20-9-1,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Sep 04, 1982  ",SLpM:6.27,Str. Acc.:49%,SApM:6.87,Str. Def:43%,,TD Avg.:2.00,TD Acc.:20%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Brian Lo-A-Njoe Record: 6-10-3,"Height:5' 7""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:3.87,Str. Acc.:42%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:66%,Sub. Avg.:0.0,"
"
 John Lober Record: 5-9-4,"Height:5' 11""",Weight:199 lbs.,Reach:--,STANCE:Orthodox,"DOB:Feb 26, 1968  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Artem Lobov Record: 13-15-1 (1 NC),"Height:5' 9""",Weight:145 lbs.,"Reach:65""",STANCE:Southpaw,"DOB:Aug 11, 1986  ",SLpM:3.52,Str. Acc.:41%,SApM:4.82,Str. Def:50%,,TD Avg.:0.39,TD Acc.:25%,TD Def.:52%,Sub. Avg.:0.0,"
"
 Dylan Lockard Record: 6-2-0,"Height:5' 9""",Weight:145 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:May 19, 1992  ",SLpM:1.31,Str. Acc.:53%,SApM:3.31,Str. Def:52%,,TD Avg.:2.31,TD Acc.:40%,TD Def.:28%,Sub. Avg.:1.2,"
"
 Sean Loeffler Record: 31-5-0,"Height:6' 3""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:May 23, 1982  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Christian Lohsen Record: 4-2-0,"Height:6' 2""",Weight:155 lbs.,"Reach:77""",STANCE:Southpaw,"DOB:Jan 24, 1995  ",SLpM:5.27,Str. Acc.:49%,SApM:6.93,Str. Def:44%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:2.0,"
"
 David Loiseau Record: 23-11-0,"Height:6' 0""",Weight:185 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Dec 17, 1979  ",SLpM:1.59,Str. Acc.:44%,SApM:3.64,Str. Def:43%,,TD Avg.:0.43,TD Acc.:42%,TD Def.:36%,Sub. Avg.:0.1,"
"
 Hector Lombard Record: 34-10-1 (2 NC),"Height:5' 9""",Weight:185 lbs.,"Reach:71""",STANCE:Southpaw,"DOB:Feb 02, 1978  ",SLpM:3.02,Str. Acc.:46%,SApM:3.35,Str. Def:53%,,TD Avg.:1.69,TD Acc.:48%,TD Def.:77%,Sub. Avg.:0.5,"
"
 Michael Lombardo Record: 11-2-0 (1 NC),"Height:6' 0""",Weight:170 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Apr 03, 1990  ",SLpM:1.47,Str. Acc.:62%,SApM:2.63,Str. Def:31%,,TD Avg.:2.50,TD Acc.:21%,TD Def.:60%,Sub. Avg.:0.0,"
"
 Rocky Long Record: 21-37-1,Height:--,Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Feb 18, 1978  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Thomas Longacre Record: 6-1-0,"Height:5' 9""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Loma Lookboonmee Record: 6-2-0,"Height:5' 1""",Weight:115 lbs.,"Reach:61""",STANCE:Orthodox,"DOB:Jan 18, 1996  ",SLpM:5.27,Str. Acc.:58%,SApM:3.13,Str. Def:54%,,TD Avg.:1.50,TD Acc.:37%,TD Def.:76%,Sub. Avg.:0.0,"
"
 Ange Loosa Record: 7-1-0,"Height:5' 9""",Weight:170 lbs.,Reach:--,STANCE:  ,"DOB:Mar 18, 1994  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Lucas Lopes Record: 29-19-0,"Height:6' 2""",Weight:185 lbs.,Reach:--,STANCE:  ,"DOB:Oct 05, 1979  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Dileno Lopes Record: 19-3-0,"Height:5' 5""",Weight:135 lbs.,Reach:--,STANCE:  ,"DOB:Sep 26, 1984  ",SLpM:2.37,Str. Acc.:36%,SApM:3.33,Str. Def:53%,,TD Avg.:2.50,TD Acc.:31%,TD Def.:100%,Sub. Avg.:1.5,"
"
 Diego Lopes Record: 19-3-0,"Height:5' 11""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,"DOB:Dec 30, 1994  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Ivan Lopez Record: 14-3-1,"Height:5' 6""",Weight:135 lbs.,Reach:--,STANCE:Southpaw,DOB:--  ,SLpM:0.90,Str. Acc.:26%,SApM:2.24,Str. Def:65%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:30%,Sub. Avg.:0.0,"
"
 Steve Lopez Record: 13-6-1,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 30, 1984  ",SLpM:1.39,Str. Acc.:24%,SApM:2.69,Str. Def:62%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:37%,Sub. Avg.:0.0,"
"
 Federico Lopez Record: 10-6-0,"Height:5' 4""",Weight:139 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:1.78,Str. Acc.:23%,SApM:5.35,Str. Def:30%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Jorge Lopez Record: 11-5-0,"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,"DOB:Nov 21, 1988  ",SLpM:2.47,Str. Acc.:59%,SApM:2.57,Str. Def:50%,,TD Avg.:3.50,TD Acc.:41%,TD Def.:81%,Sub. Avg.:0.0,"
"
 Christopher Lopez Record: 9-1-0 (1 NC),"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:  ,"DOB:Jan 30, 1986  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Matthew Lopez Record: 10-4-0,"Height:5' 7""",Weight:135 lbs.,"Reach:69""",STANCE:Southpaw,"DOB:Jan 21, 1987  ",SLpM:3.13,Str. Acc.:50%,SApM:3.73,Str. Def:55%,,TD Avg.:3.32,TD Acc.:60%,TD Def.:71%,Sub. Avg.:1.3,"
"
 Benito Lopez Record: 10-1-0,"Height:5' 10""",Weight:135 lbs.,"Reach:73""",STANCE:Switch,"DOB:Apr 06, 1994  ",SLpM:4.49,Str. Acc.:44%,SApM:4.80,Str. Def:58%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:78%,Sub. Avg.:0.3,"
"
 Gustavo Lopez Record: 12-6-0,"Height:5' 5""",Weight:135 lbs.,"Reach:67""",STANCE:Orthodox,"DOB:Jun 27, 1989  ",SLpM:2.24,Str. Acc.:41%,SApM:4.65,Str. Def:51%,,TD Avg.:1.07,TD Acc.:50%,TD Def.:27%,Sub. Avg.:0.5,"
"
 Brendan Loughnane Record: 17-3-0,"Height:5' 10""",Weight:145 lbs.,"Reach:70""",STANCE:Switch,"DOB:Dec 05, 1989  ",SLpM:6.23,Str. Acc.:63%,SApM:6.70,Str. Def:53%,,TD Avg.:1.50,TD Acc.:30%,TD Def.:92%,Sub. Avg.:0.0,"
"
 Nate Loughran Record: 11-2-0,"Height:6' 2""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 28, 1980  ",SLpM:1.81,Str. Acc.:40%,SApM:4.11,Str. Def:59%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:2.1,"
"
 Rashard Lovelace Record: 4-1-0,Height:--,Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Ian Loveland Record: 18-10-0,"Height:5' 8""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,"DOB:Sep 07, 1983  ",SLpM:2.71,Str. Acc.:40%,SApM:2.36,Str. Def:64%,,TD Avg.:1.00,TD Acc.:37%,TD Def.:69%,Sub. Avg.:0.3,"
"
 Jakob Lovstad Record: 11-4-0,"Height:6' 3""",Weight:205 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:9.43,Str. Def:35%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Waylon Lowe Record: 16-7-0 (2 NC),"Height:5' 7""",Weight:145 lbs.,Reach:--,STANCE:Southpaw,"DOB:Oct 31, 1980  ",SLpM:1.88,Str. Acc.:55%,SApM:2.40,Str. Def:53%,,TD Avg.:4.47,TD Acc.:55%,TD Def.:83%,Sub. Avg.:0.3,"
"
 Brandon Lowe Record: 2-1-0,Height:--,Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Joe Lowry Record: 9-2-0,"Height:5' 11""",Weight:155 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Dec 12, 1989  ",SLpM:3.97,Str. Acc.:34%,SApM:4.25,Str. Def:63%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Robert Lucarelli Record: 0-1-0,"Height:6' 2""",Weight:245 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Matt Lucas Record: 15-3-0,"Height:6' 1""",Weight:205 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:1.27,Str. Acc.:48%,SApM:3.93,Str. Def:40%,,TD Avg.:1.00,TD Acc.:10%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Cleber Luciano Record: 14-6-0,"Height:5' 6""",Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Duane Ludwig Record: 21-14-0,"Height:5' 10""",Weight:170 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Aug 04, 1978  ",SLpM:4.62,Str. Acc.:44%,SApM:3.05,Str. Def:57%,,TD Avg.:0.43,TD Acc.:25%,TD Def.:59%,Sub. Avg.:0.1,"
"
 Mike Lullo Record: 8-3-0,"Height:5' 8""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 24, 1979  ",SLpM:2.48,Str. Acc.:36%,SApM:4.84,Str. Def:40%,,TD Avg.:1.18,TD Acc.:11%,TD Def.:0%,Sub. Avg.:0.6,"
"
 Lun Qiu Record: 12-7-0,Height:--,Weight:125 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Dalcha Lungiambula Record: 11-2-0,"Height:5' 8""",Weight:185 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Jul 31, 1987  ",SLpM:1.85,Str. Acc.:50%,SApM:2.27,Str. Def:43%,,TD Avg.:2.07,TD Acc.:50%,TD Def.:75%,Sub. Avg.:0.0,"
"
 Alexandru Lungu Record: 14-4-0,"Height:6' 0""",Weight:385 lbs.,Reach:--,STANCE:Orthodox,"DOB:Sep 03, 1974  ",SLpM:3.61,Str. Acc.:66%,SApM:7.22,Str. Def:40%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Vicente Luque Record: 21-7-1,"Height:5' 11""",Weight:170 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Nov 27, 1991  ",SLpM:5.65,Str. Acc.:54%,SApM:5.67,Str. Def:52%,,TD Avg.:0.64,TD Acc.:50%,TD Def.:64%,Sub. Avg.:1.0,"
"
 Thaddeus Luster Record: 0-1-0,"Height:6' 3""",Weight:210 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Travis Lutter Record: 10-6-0,"Height:5' 11""",Weight:185 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:May 12, 1973  ",SLpM:0.41,Str. Acc.:32%,SApM:2.42,Str. Def:42%,,TD Avg.:1.95,TD Acc.:24%,TD Def.:30%,Sub. Avg.:0.7,"
"
 Tucker Lutz Record: 12-1-0,"Height:5' 8""",Weight:155 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Jul 12, 1994  ",SLpM:5.09,Str. Acc.:52%,SApM:3.67,Str. Def:45%,,TD Avg.:2.33,TD Acc.:63%,TD Def.:84%,Sub. Avg.:0.3,"
"
 Lv Zhenhong Record: 16-6-0,"Height:5' 8""",Weight:145 lbs.,"Reach:67""",STANCE:Switch,"DOB:Jun 25, 1993  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Stevie Lynch Record: 5-2-0,"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:2.47,Str. Acc.:25%,SApM:7.06,Str. Def:41%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Adam Lynn Record: 17-10-0 (1 NC),"Height:5' 10""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:1.47,Str. Acc.:63%,SApM:6.95,Str. Def:10%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Chris Lytle Record: 31-18-5,"Height:5' 11""",Weight:170 lbs.,"Reach:68""",STANCE:Orthodox,"DOB:Aug 18, 1974  ",SLpM:3.76,Str. Acc.:45%,SApM:3.03,Str. Def:58%,,TD Avg.:0.70,TD Acc.:55%,TD Def.:55%,Sub. Avg.:2.4,"
"
 Dong Hyun Ma Record: 16-11-3,"Height:5' 11""",Weight:155 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Sep 09, 1988  ",SLpM:2.84,Str. Acc.:41%,SApM:4.10,Str. Def:54%,,TD Avg.:1.27,TD Acc.:53%,TD Def.:33%,Sub. Avg.:0.0,"
"
 William Macario Record: 9-3-0,"Height:5' 11""",Weight:170 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Jul 01, 1991  ",SLpM:4.92,Str. Acc.:54%,SApM:3.96,Str. Def:65%,,TD Avg.:1.85,TD Acc.:45%,TD Def.:78%,Sub. Avg.:0.0,"
"
 Jason MacDonald Record: 25-16-0,"Height:6' 3""",Weight:185 lbs.,"Reach:80""",STANCE:Orthodox,"DOB:Jun 03, 1975  ",SLpM:1.55,Str. Acc.:52%,SApM:2.70,Str. Def:46%,,TD Avg.:1.43,TD Acc.:16%,TD Def.:35%,Sub. Avg.:2.0,"
"
 Rob MacDonald Record: 5-4-0,"Height:6' 3""",Weight:205 lbs.,"Reach:78""",STANCE:Orthodox,"DOB:Sep 05, 1978  ",SLpM:1.80,Str. Acc.:50%,SApM:2.04,Str. Def:46%,,TD Avg.:7.19,TD Acc.:80%,TD Def.:80%,Sub. Avg.:5.4,"
"
 Rory MacDonald Record: 19-4-0,"Height:6' 0""",Weight:170 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Jul 22, 1989  ",SLpM:3.75,Str. Acc.:42%,SApM:2.80,Str. Def:62%,,TD Avg.:1.77,TD Acc.:47%,TD Def.:88%,Sub. Avg.:0.4,"
"
 Ryan MacDonald Record: 10-2-0,"Height:5' 11""",Weight:135 lbs.,"Reach:71""",STANCE:Switch,"DOB:Mar 18, 1993  ",SLpM:2.28,Str. Acc.:29%,SApM:6.49,Str. Def:45%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Veronica Macedo Record: 6-4-1,"Height:5' 4""",Weight:125 lbs.,"Reach:64""",STANCE:Southpaw,"DOB:Oct 30, 1995  ",SLpM:3.13,Str. Acc.:39%,SApM:5.06,Str. Def:43%,,TD Avg.:0.57,TD Acc.:18%,TD Def.:46%,Sub. Avg.:0.6,"
"
 Clayton MacFarlane Record: 4-1-0,Height:--,Weight:170 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:1.33,Str. Acc.:52%,SApM:1.82,Str. Def:55%,,TD Avg.:1.05,TD Acc.:33%,TD Def.:37%,Sub. Avg.:0.0,"
"
